FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,SEX,URBANIZATION,DISABILITY,OCCUPATION,ECONOMIC_SECTOR,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT,CONF_STATUS
A,2019,KI,POPCNT,F,U,2,9,C,11,N,,,,,
A,2019,VU,POPCNT,F,U,1,_X,D,7,N,,,,,
A,2019,MH,POPCNT,M,R,1,1,D,2,N,,,,,
A,2021,TO,POPCNT,M,R,1,1,D,18,N,,,,,
A,2019,MH,POPCNT,M,U,1,1,D,1,N,,,,,
A,2019,MH,POPCNT,M,R,1,2,D,33,N,,,,,
A,2019,MH,POPCNT,M,U,1,2,D,26,N,,,,,
A,2021,TO,POPCNT,M,U,1,2,D,7,N,,,,,
A,2019,VU,POPCNT,F,U,1,3,D,28,N,,,,,
A,2019,MH,POPCNT,M,R,1,3,D,11,N,,,,,
A,2021,TO,POPCNT,M,R,1,3,D,18,N,,,,,
A,2019,KI,POPCNT,M,U,1,3,D,21,N,,,,,
A,2021,TO,POPCNT,M,U,1,3,D,7,N,,,,,
A,2019,MH,POPCNT,M,U,1,4,D,90,N,,,,,
A,2021,TO,POPCNT,M,U,1,4,D,7,N,,,,,
A,2019,KI,POPCNT,F,R,1,5,D,1,N,,,,,
A,2019,KI,POPCNT,F,U,1,5,D,12,N,,,,,
A,2019,MH,POPCNT,F,U,1,5,D,13,N,,,,,
A,2021,TO,POPCNT,M,R,1,5,D,25,N,,,,,
A,2019,KI,POPCNT,M,U,1,5,D,18,N,,,,,
A,2019,MH,POPCNT,M,U,1,5,D,80,N,,,,,
A,2019,MH,POPCNT,M,U,2,5,D,11,N,,,,,
A,2019,KI,POPCNT,F,R,1,7,D,22,N,,,,,
A,2021,TO,POPCNT,F,R,1,7,D,18,N,,,,,
A,2019,KI,POPCNT,M,R,1,7,D,1,N,,,,,
A,2019,MH,POPCNT,M,R,1,7,D,67,N,,,,,
A,2019,VU,POPCNT,M,R,1,7,D,39,N,,,,,
A,2021,TO,POPCNT,M,R,1,7,D,40,N,,,,,
A,2019,KI,POPCNT,M,U,1,7,D,116,N,,,,,
A,2019,MH,POPCNT,M,U,1,7,D,215,N,,,,,
A,2019,VU,POPCNT,M,U,1,7,D,15,N,,,,,
A,2021,TO,POPCNT,M,U,1,7,D,45,N,,,,,
