FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,URBANISATION,SEX,AGE,DISABILITY,EDUCATION,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,DATASOURCE,OBS_STATUS,OBS_COMMENT,CONF_STATUS
A,2020,PW,POPCNT,R,M,Y65T999,2,2,3,N,,,,,
A,2020,VU,POPCNT,R,M,Y65T999,2,2,426,N,,,,,
A,2021,TO,POPCNT,R,M,Y65T999,2,2,42,N,,,,,
A,2017,TV,POPCNT,U,M,Y65T999,2,2,1,N,,,,,
A,2019,KI,POPCNT,U,M,Y65T999,2,2,28,N,,,,,
A,2019,VU,POPCNT,U,M,Y65T999,2,2,22,N,,,,,
A,2020,KI,POPCNT,U,M,Y65T999,2,2,24,N,,,,,
A,2020,PW,POPCNT,U,M,Y65T999,2,2,4,N,,,,,
A,2020,VU,POPCNT,U,M,Y65T999,2,2,45,N,,,,,
A,2021,MH,POPCNT,U,M,Y65T999,2,2,5,N,,,,,
A,2021,TO,POPCNT,U,M,Y65T999,2,2,11,N,,,,,
A,2017,TV,POPCNT,R,F,Y25T54,1,1,5,N,,,,,
A,2019,KI,POPCNT,R,F,Y25T54,1,1,680,N,,,,,
A,2019,MH,POPCNT,R,F,Y25T54,1,1,84,N,,,,,
A,2019,VU,POPCNT,R,F,Y25T54,1,1,20686,N,,,,,
A,2020,KI,POPCNT,R,F,Y25T54,1,1,662,N,,,,,
A,2020,PW,POPCNT,R,F,Y25T54,1,1,4,N,,,,,
A,2020,VU,POPCNT,R,F,Y25T54,1,1,16518,N,,,,,
A,2021,TO,POPCNT,R,F,Y25T54,1,1,363,N,,,,,
A,2017,TV,POPCNT,U,F,Y25T54,1,1,2,N,,,,,
A,2019,KI,POPCNT,U,F,Y25T54,1,1,622,N,,,,,
A,2019,MH,POPCNT,U,F,Y25T54,1,1,219,N,,,,,
A,2019,VU,POPCNT,U,F,Y25T54,1,1,5178,N,,,,,
A,2020,KI,POPCNT,U,F,Y25T54,1,1,653,N,,,,,
A,2020,PW,POPCNT,U,F,Y25T54,1,1,15,N,,,,,
A,2020,VU,POPCNT,U,F,Y25T54,1,1,3060,N,,,,,
A,2021,MH,POPCNT,U,F,Y25T54,1,1,175,N,,,,,
A,2021,TO,POPCNT,U,F,Y25T54,1,1,85,N,,,,,
A,2017,TV,POPCNT,R,M,Y25T54,1,1,6,N,,,,,
A,2019,KI,POPCNT,R,M,Y25T54,1,1,993,N,,,,,
A,2019,MH,POPCNT,R,M,Y25T54,1,1,42,N,,,,,
A,2019,VU,POPCNT,R,M,Y25T54,1,1,19853,N,,,,,
A,2020,KI,POPCNT,R,M,Y25T54,1,1,966,N,,,,,
A,2020,PW,POPCNT,R,M,Y25T54,1,1,50,N,,,,,
A,2020,VU,POPCNT,R,M,Y25T54,1,1,16396,N,,,,,
A,2021,TO,POPCNT,R,M,Y25T54,1,1,426,N,,,,,
A,2019,KI,POPCNT,U,M,Y25T54,1,1,780,N,,,,,
A,2019,MH,POPCNT,U,M,Y25T54,1,1,105,N,,,,,
A,2019,VU,POPCNT,U,M,Y25T54,1,1,4450,N,,,,,
A,2020,KI,POPCNT,U,M,Y25T54,1,1,940,N,,,,,
A,2020,PW,POPCNT,U,M,Y25T54,1,1,108,N,,,,,
A,2020,VU,POPCNT,U,M,Y25T54,1,1,2822,N,,,,,
A,2021,MH,POPCNT,U,M,Y25T54,1,1,202,N,,,,,
A,2021,TO,POPCNT,U,M,Y25T54,1,1,93,N,,,,,
A,2017,TV,POPCNT,R,F,Y55T64,1,1,7,N,,,,,
A,2019,KI,POPCNT,R,F,Y55T64,1,1,430,N,,,,,
A,2019,MH,POPCNT,R,F,Y55T64,1,1,59,N,,,,,
A,2019,VU,POPCNT,R,F,Y55T64,1,1,3451,N,,,,,
A,2020,KI,POPCNT,R,F,Y55T64,1,1,357,N,,,,,
A,2020,PW,POPCNT,R,F,Y55T64,1,1,4,N,,,,,
A,2020,VU,POPCNT,R,F,Y55T64,1,1,2922,N,,,,,
A,2021,TO,POPCNT,R,F,Y55T64,1,1,279,N,,,,,
A,2017,TV,POPCNT,U,F,Y55T64,1,1,1,N,,,,,
A,2019,KI,POPCNT,U,F,Y55T64,1,1,219,N,,,,,
A,2019,VU,POPCNT,U,F,Y55T64,1,1,1135,N,,,,,
A,2020,KI,POPCNT,U,F,Y55T64,1,1,340,N,,,,,
A,2020,PW,POPCNT,U,F,Y55T64,1,1,14,N,,,,,
A,2020,VU,POPCNT,U,F,Y55T64,1,1,698,N,,,,,
A,2021,MH,POPCNT,U,F,Y55T64,1,1,37,N,,,,,
A,2021,TO,POPCNT,U,F,Y55T64,1,1,71,N,,,,,
A,2017,TV,POPCNT,R,M,Y55T64,1,1,2,N,,,,,
A,2019,KI,POPCNT,R,M,Y55T64,1,1,339,N,,,,,
A,2019,MH,POPCNT,R,M,Y55T64,1,1,3,N,,,,,
A,2019,VU,POPCNT,R,M,Y55T64,1,1,3760,N,,,,,
A,2020,KI,POPCNT,R,M,Y55T64,1,1,272,N,,,,,
A,2020,PW,POPCNT,R,M,Y55T64,1,1,12,N,,,,,
A,2020,VU,POPCNT,R,M,Y55T64,1,1,2896,N,,,,,
A,2021,TO,POPCNT,R,M,Y55T64,1,1,337,N,,,,,
A,2019,KI,POPCNT,U,M,Y55T64,1,1,138,N,,,,,
A,2019,MH,POPCNT,U,M,Y55T64,1,1,101,N,,,,,
A,2019,VU,POPCNT,U,M,Y55T64,1,1,908,N,,,,,
A,2020,KI,POPCNT,U,M,Y55T64,1,1,209,N,,,,,
A,2020,PW,POPCNT,U,M,Y55T64,1,1,22,N,,,,,
A,2020,VU,POPCNT,U,M,Y55T64,1,1,570,N,,,,,
A,2021,MH,POPCNT,U,M,Y55T64,1,1,26,N,,,,,
A,2021,TO,POPCNT,U,M,Y55T64,1,1,41,N,,,,,
A,2017,TV,POPCNT,R,F,Y65T999,1,1,8,N,,,,,
A,2019,KI,POPCNT,R,F,Y65T999,1,1,454,N,,,,,
